analysis_datetime,inst_num,sample_ID,site_num,sample_type,port,standards_num,std_serial_num,event_num,lab_num
2024-06-25 02:12:00,58,3003-09,62,PFP,303,57,CC479844,536005,1
2024-06-25 02:34:00,58,3003-10,62,PFP,303,57,CC479844,536006,1
2024-06-25 02:57:00,58,3003-11,62,PFP,303,57,CC479844,536007,1
2024-06-25 03:19:00,58,3918-01,108,PFP,305,57,CC479844,535927,1
2024-06-25 05:09:00,58,3918-02,108,PFP,305,57,CC479844,535928,1
2024-06-25 05:31:00,58,3918-04,108,PFP,305,57,CC479844,535929,1
2024-06-25 05:53:00,58,3918-06,108,PFP,305,57,CC479844,535930,1
2024-06-25 06:15:00,58,3918-07,108,PFP,305,57,CC479844,535931,1
2024-06-25 06:59:00,58,3918-08,108,PFP,305,57,CC479844,535932,1
2024-06-25 07:21:00,58,3918-09,108,PFP,305,57,CC479844,535933,1
2024-06-25 07:43:00,58,3918-10,108,PFP,305,57,CC479844,535934,1
2024-06-25 13:13:00,58,3908-05,437,PFP,309,57,CC479844,535638,1
2024-06-25 13:35:00,58,3908-06,437,PFP,309,57,CC479844,535639,1
2024-06-25 14:19:00,58,3908-07,437,PFP,309,57,CC479844,535640,1
2024-06-25 14:41:00,58,3908-08,437,PFP,309,57,CC479844,535641,1
2024-06-25 15:04:00,58,3908-09,437,PFP,309,57,CC479844,535642,1
2024-06-25 15:26:00,58,3908-10,437,PFP,309,57,CC479844,535643,1
2024-06-25 16:10:00,58,3908-11,437,PFP,309,57,CC479844,535644,1
2024-06-25 16:32:00,58,3908-12,437,PFP,309,57,CC479844,535645,1
2024-07-08 11:11:00,58,3957-09,279,PFP,313,57,CC479844,536576,1
2024-07-08 11:33:00,58,CC479844,0,std,7,57,CC479844,0,0
2024-07-08 11:56:00,58,3957-10,279,PFP,313,57,CC479844,536577,1
2024-07-08 12:18:00,58,3957-11,279,PFP,313,57,CC479844,536578,1
